Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Seth Curry,4,27,6,7,2,0,4,0,0,0,0,0,32.5,8.12
Haywood Highsmith,6,33,13,7,4,0,8,0,0,0,0,0,48.5,8.08
Ousmane Dieng,44,255,107,65,15,14,50,29,0,0,2,0,355.5,8.08
Thomas Bryant,53,313,164,30,15,24,40,21,0,0,0,0,427.5,8.07
Jalen Pickett,44,231,107,104,13,4,44,30,0,0,0,0,352.5,8.01
Mo Bamba,4,10,22,1,0,3,0,2,0,0,0,0,32.0,8.0
Skal Labissiere,3,13,9,3,2,1,1,1,0,0,0,0,24.0,8.0
KJ Simpson,17,89,34,43,16,0,12,24,0,0,0,0,135.5,7.97
Jericho Sims,54,219,262,59,10,13,0,53,0,0,3,0,426.5,7.9
Josh Okogie,67,324,176,56,58,13,59,37,0,0,1,0,529.5,7.9
Guerschon Yabusele,59,294,191,53,23,13,57,35,0,0,4,0,460.5,7.81
Tolu Smith,9,37,35,7,2,5,0,5,0,0,0,0,69.5,7.72
Hugo González,65,263,226,38,38,20,36,34,0,0,2,0,497.5,7.65
Mac McClung,4,23,5,2,5,2,2,3,0,0,0,0,30.5,7.62
Sharife Cooper,29,195,63,69,9,2,17,40,0,0,0,0,220.0,7.59
Ben Saraf,33,191,51,101,27,5,13,69,0,0,0,0,249.0,7.55
Taurean Prince,14,84,25,13,9,2,21,7,0,0,0,0,105.5,7.54
Brandon Clarke,2,8,6,1,2,0,0,0,0,0,0,0,15.0,7.5
Nicolas Batum,64,257,160,58,42,21,80,35,0,0,0,0,477.5,7.46
Christian Koloko,23,62,71,14,13,21,1,13,0,0,0,0,171.5,7.46
Ethan Thompson,24,123,44,35,15,6,23,16,0,0,0,0,178.0,7.42
Gary Trent Jr.,57,424,59,70,28,3,99,30,0,0,0,0,422.5,7.41
PJ Hall,19,86,75,10,3,10,3,16,0,0,1,0,140.5,7.39
Tre Mann,46,273,89,84,24,5,48,52,0,0,0,0,339.5,7.38
Drew Eubanks,42,219,127,19,15,26,1,30,0,0,1,0,309.0,7.36
Julian Strawther,46,317,91,47,21,4,41,29,0,0,0,0,338.0,7.35
John Poulakidas,3,13,10,2,2,0,3,2,0,0,0,0,22.0,7.33
Marcus Sasser,28,155,30,58,20,2,34,23,0,0,0,0,203.5,7.27
Dwight Powell,53,168,196,49,25,17,1,31,0,0,3,0,385.5,7.27
Chris Paul,16,47,28,53,11,0,10,16,0,0,0,0,115.5,7.22
Caleb Martin,58,227,143,81,40,15,20,40,0,0,0,0,417.5,7.2
Rob Dillingham,53,275,94,118,38,4,28,67,0,0,0,0,380.5,7.18
Gradey Dick,64,400,133,42,41,6,51,38,0,0,1,0,457.5,7.15
Charles Bassey,4,11,16,2,1,2,0,1,0,0,0,0,28.5,7.12
Myron Gardner,38,145,114,39,18,5,24,14,0,0,1,0,270.5,7.12
Jaden Hardy,49,412,73,44,14,5,77,52,0,0,0,0,347.5,7.09
Colby Jones,1,2,4,2,0,0,0,0,0,0,0,0,7.0,7.0
Branden Carlson,35,170,92,21,6,18,21,13,0,0,1,0,244.5,6.99
Blake Wesley,23,120,29,54,16,3,10,26,0,0,0,0,160.0,6.96
Tyler Kolek,57,246,92,159,21,4,38,53,0,0,2,0,392.0,6.88
Malachi Smith,4,14,9,9,2,2,1,6,0,0,0,0,27.5,6.88
Trayce Jackson-Davis,45,166,136,36,15,21,1,19,0,0,1,0,309.5,6.88
Grant Nelson,4,17,6,5,1,5,0,4,0,0,0,0,27.5,6.88
Jabari Walker,57,252,177,29,22,12,30,25,0,0,2,0,392.0,6.88
Cody Martin,4,7,14,2,4,2,0,4,0,0,0,0,27.5,6.88
Drake Powell,53,317,88,77,25,10,40,53,0,0,0,0,360.5,6.8
Josh Green,47,226,96,42,30,5,51,28,0,0,0,0,318.5,6.78
Anthony Gill,43,172,109,44,20,16,8,26,0,0,0,0,289.0,6.72
Ochai Agbaji,56,277,129,43,23,17,30,30,0,0,0,0,375.5,6.71
LJ Cryer,11,85,17,6,2,0,22,7,0,0,0,0,73.5,6.68
Rayan Rupert,58,244,141,44,44,6,37,38,0,0,0,0,387.5,6.68
Bradley Beal,6,49,5,10,3,0,7,9,0,0,0,0,40.0,6.67
Kobe Brown,52,255,138,50,16,10,38,40,0,0,0,0,346.5,6.66
Yuki Kawamura,11,33,21,32,6,0,5,11,0,0,0,0,73.0,6.64
Leonard Miller,34,175,93,19,10,8,13,18,0,0,1,0,225.0,6.62
Dalen Terry,44,160,79,62,26,15,23,24,0,0,0,0,290.5,6.6
Kam Jones,30,123,43,80,14,0,17,27,0,0,1,0,195.0,6.5
Yanic Konan Niederhäuser,41,176,117,12,5,30,1,23,0,0,0,0,264.5,6.45
Zeke Nnaji,47,179,126,24,17,21,13,25,0,0,2,0,299.0,6.36
Larry Nance Jr.,29,95,75,27,15,4,18,13,0,0,0,0,183.5,6.33
Asa Newell,40,201,81,20,15,13,27,21,0,0,1,0,251.0,6.28
Dorian Finney-Smith,33,107,86,34,15,6,25,21,0,0,0,0,207.0,6.27
Jett Howard,48,256,80,41,10,10,46,12,0,0,0,0,300.0,6.25
Tyus Jones,62,185,66,151,36,3,36,22,0,0,0,0,383.5,6.19
Chris Boucher,9,21,18,3,5,7,2,1,0,0,0,0,55.5,6.17
Nate Williams,10,68,17,9,3,0,7,8,0,0,0,0,61.5,6.15
Taj Gibson,4,13,12,1,1,1,2,0,0,0,0,0,24.5,6.12
Micah Peavy,52,204,95,48,31,6,21,15,0,0,0,0,314.5,6.05
Cormac Ryan,1,5,0,1,1,0,1,0,0,0,0,0,6.0,6.0
Alex Morales,1,2,3,4,0,0,0,2,0,0,0,0,6.0,6.0
Garrison Mathews,15,78,17,10,6,3,17,3,0,0,0,0,89.5,5.97
Jonathan Isaac,52,134,132,22,20,31,7,18,0,0,0,0,308.5,5.93
